	Position	CompanyName	Skills	Published	MoreInfo
111	Data Analyst	DecisionTree Analytics and Services	data mining, sql, postgresql, mysql, product delivery, written communication	Posted few days ago	https://www.timesjobs.com/job-detail/data-analyst-decisiontree-analytics-and-services-gurgaon-1-to-3-yrs-jobid-yiarx__PLUS__Iid0hzpSvf__PLUS__uAgZw==&source=srp
112	Data Analyst	Cognizant Technology Solutions	clinical trials, cdm, clinical, pharmacy, data management, life sciences, query management, clinical operations	Posted few days ago	https://www.timesjobs.com/job-detail/data-analyst-cognizant-technology-solutions-mumbai-0-to-3-yrs-jobid-ooNgRMQRk5ZzpSvf__PLUS__uAgZw==&source=srp
113	Data Analyst	siemens gamesa renewable energy pvt ltd	design,  transfer,  Module Quality,  modules across domains	Posted few days ago	https://www.timesjobs.com/job-detail/data-analyst-siemens-gamesa-renewable-energy-pvt-ltd-bengaluru-bangalore-2-to-3-yrs-jobid-ZjMnUT5vzNpzpSvf__PLUS__uAgZw==&source=srp
114	Data Analyst	BUSISOL SOURCING INDIA PVT. LTD	charts, data mining, formulas, relational database, sql server, reporting services	Posted few days ago	https://www.timesjobs.com/job-detail/data-analyst-busisol-sourcing-india-pvt-ltd-mumbai-0-to-3-yrs-jobid-ARJVvDp1IFtzpSvf__PLUS__uAgZw==&source=srp
115	Data analyst	BUSISOL SOURCING INDIA PVT. LTD	reports, charts, data mining, formulas, reporting services, relational database, sql server	Posted few days ago	https://www.timesjobs.com/job-detail/data-analyst-busisol-sourcing-india-pvt-ltd-delhi-0-to-3-yrs-jobid-8prYmLkFDLdzpSvf__PLUS__uAgZw==&source=srp
116	Data Analyst	APPLYCUP HIRING SOLUTIONS LLP	oogle Analytics,  Adobe Analytics,  Appsee,  Glassbox,  mobile,  apps	Posted few days ago	https://www.timesjobs.com/job-detail/data-analyst-applycup-hiring-solutions-llp-indore-2-to-4-yrs-jobid-l5630zdCBGhzpSvf__PLUS__uAgZw==&source=srp
117	Data Analyst	APPLYCUP HIRING SOLUTIONS LLP	ssas, business intelligence, business intelligence tools, ssis, data integration	Posted few days ago	https://www.timesjobs.com/job-detail/data-analyst-applycup-hiring-solutions-llp-delhi-delhi-ncr-2-to-5-yrs-jobid-7gGd1uc6su5zpSvf__PLUS__uAgZw==&source=srp
118	Data Analyst	Koch Global Business Services	costing, ca, sap, management reporting, icwai, cma, statutory	Posted few days ago	https://www.timesjobs.com/job-detail/data-analyst-koch-global-business-services-bengaluru-bangalore-0-to-3-yrs-jobid-zR9sNP70jRZzpSvf__PLUS__uAgZw==&source=srp
119	Data Analyst	augmenter consulting	data mining, database design, data models	Posted few days ago	https://www.timesjobs.com/job-detail/data-analyst-augmenter-consulting-mumbai-2-to-5-yrs-jobid-LuSnCKPLWI9zpSvf__PLUS__uAgZw==&source=srp
120	Data Analyst	z1 media	digital marketing, digital advertising, online media, marketing, google analytics	Posted few days ago	https://www.timesjobs.com/job-detail/data-analyst-z1-media-gurgaon-2-to-6-yrs-jobid-Nxp1avE7Bw1zpSvf__PLUS__uAgZw==&source=srp
121	Data Analyst	Ipseity Group	reports, vb, data collection, xml, procedures	Posted few days ago	https://www.timesjobs.com/job-detail/data-analyst-ipseity-group-bhopal-1-to-3-yrs-jobid-ADc3ie9lzZBzpSvf__PLUS__uAgZw==&source=srp
122	Data Analyst	APPLYCUP HIRING SOLUTIONS LLP	database, bi, sql	Posted few days ago	https://www.timesjobs.com/job-detail/data-analyst-applycup-hiring-solutions-llp-delhi-delhi-ncr-0-to-2-yrs-jobid-0jkIVQHYHxNzpSvf__PLUS__uAgZw==&source=srp
123	Data Analyst	tresvista financial services	mining, database, data specific, data sources	Posted few days ago	https://www.timesjobs.com/job-detail/data-analyst-tresvista-financial-services-mumbai-1-to-2-yrs-jobid-__SLASH__gFeGamERtBzpSvf__PLUS__uAgZw==&source=srp
124	data analyst	Randstad MENA	python, data mining, bi, machine learning, sql, database, mysql	Posted few days ago	https://www.timesjobs.com/job-detail/data-analyst-randstad-mena-pune-0-to-3-yrs-jobid-TmJMs2jWQeBzpSvf__PLUS__uAgZw==&source=srp
